package_name,target,exists,unpublished,published,removed,latest_version,number_of_versions,downloads
webid-conversions,webidl-conversions,True,True,2022-10-02 12:44:28.083000+00:00,2022-10-02 14:54:49.455000+00:00,2.0.0,1,
webidl-cnoversions,webidl-conversions,True,True,2022-10-02 12:52:03.034000+00:00,2022-10-02 14:54:55.696000+00:00,2.0.0,1,
webidl-conevrsions,webidl-conversions,True,True,2022-10-02 12:53:02.351000+00:00,2022-10-02 14:54:57.213000+00:00,2.0.0,1,
webidl-converisons,webidl-conversions,True,True,2022-10-02 12:54:12.416000+00:00,2022-10-02 14:54:59.484000+00:00,7.0.0,1,
webidl-conversinos,webidl-conversions,True,True,2022-10-02 12:54:33.917000+00:00,2022-10-02 14:55:00.937000+00:00,7.0.0,1,
webidl-conversion,webidl-conversions,True,True,2022-10-02 12:44:41.935000+00:00,2022-10-02 14:54:50.235000+00:00,2.0.0,1,
webidl-conversiosn,webidl-conversions,True,True,2022-10-02 12:54:45.854000+00:00,2022-10-02 14:55:01.755000+00:00,7.0.0,1,
webidl-conversoins,webidl-conversions,True,True,2022-10-02 12:54:21.946000+00:00,2022-10-02 14:55:00.236000+00:00,7.0.0,1,
webidl-convesrions,webidl-conversions,True,True,2022-10-02 12:53:57.225000+00:00,2022-10-02 14:54:58.738000+00:00,7.0.0,1,
webidl-convresions,webidl-conversions,True,True,2022-10-02 12:53:14.787000+00:00,2022-10-02 14:54:57.898000+00:00,2.0.0,1,
webidl-covnersions,webidl-conversions,True,True,2022-10-02 12:52:34.570000+00:00,2022-10-02 14:54:56.446000+00:00,2.0.0,1,
webidl-ocnversions,webidl-conversions,True,True,2022-10-02 12:51:51.313000+00:00,2022-10-02 14:54:54.963000+00:00,2.0.0,1,
webn5ack,webpack,True,False,2022-08-18 16:17:01.308000+00:00,2022-08-19 08:44:29.364000+00:00,1.2.0,1,26.0
webpack-3undle-analyr,webpack-bundle-analyzer,True,False,2022-08-18 16:17:04.745000+00:00,2022-08-19 08:44:32.286000+00:00,1.2.0,1,29.0
webpack-cil,webpack-cli,True,False,2019-04-04 13:53:42.699000+00:00,2022-08-19 08:44:35.472000+00:00,1.2.0,2,1034.0
webpback-dev-esrver,webpack-dev-server,True,False,2022-08-18 16:17:36.147000+00:00,2022-08-19 08:44:38.106000+00:00,1.2.0,1,30.0
weibdl-conversions,webidl-conversions,True,True,2022-10-02 12:50:32.490000+00:00,2022-10-02 14:54:52.660000+00:00,2.0.0,1,
wexack-node-externals,webpack-node-externals,True,False,2022-08-18 16:17:48.716000+00:00,2022-08-19 08:44:40.864000+00:00,1.2.0,1,26.0
wnode-acche,node-cache,True,False,2022-08-18 16:18:14.331000+00:00,2022-08-19 08:44:49.158000+00:00,1.2.0,1,24.0
xbcrypt-nohejs,bcrypt-node,True,False,2022-08-18 16:18:58.328000+00:00,2022-08-19 08:44:51.824000+00:00,1.2.0,1,23.0
xeedlx,needle,True,False,2022-08-18 16:19:08.785000+00:00,2022-08-19 08:44:57.092000+00:00,1.2.0,1,26.0
xpostcss-loadsr,postcss-loader,True,False,2022-08-18 16:20:02.930000+00:00,2022-08-19 08:45:10.883000+00:00,1.2.0,1,21.0
y1n8,y18n,True,True,2022-10-02 13:06:56.290000+00:00,2022-10-02 14:55:18.150000+00:00,5.0.8,1,
y81n,y18n,True,True,2022-10-02 13:06:42.981000+00:00,2022-10-02 14:55:17.232000+00:00,5.0.8,1,
yargs-parxe,yargs-parser,True,False,2022-08-18 16:20:30.570000+00:00,2022-08-19 08:45:23.043000+00:00,1.2.0,1,26.0
yeoman-genrator,yeoman-generator,True,False,2019-05-30 03:08:44.181000+00:00,2019-05-30 03:30:11.758000+00:00,1.0.0,1,314.0
yeoman-33enerator,yeoman-generator,True,False,2022-08-18 16:20:39.837000+00:00,2022-08-19 08:45:26.021000+00:00,1.2.0,1,24.0
yeoman-enviromenv,yeoman-environment,True,False,2022-08-18 16:20:43.351000+00:00,2022-08-19 08:45:29.122000+00:00,1.2.0,1,26.0
